finding_id,source,source_reference,title,preliminary_severity,owner_role,status,planned_gate,disposition_or_evidence
FND-C1,CODEX_REVIEW.md,C1,Positive calculation can be displayed as actionable 0 mL,Critical,Software lead,Open,G3,"Implement CALC-001 exact numeric policy and verify regression corpus before G3"
FND-C2,CODEX_REVIEW.md,C2,Fixed hidden-overflow layout fails zoom and landscape,Critical,Software and human-factors leads,Open,G5,"Implement reflow/scroll policy and verify required device/text matrix"
FND-H1,CODEX_REVIEW.md,H1,Persisted records lack schema validation,High,Software lead,Open,G4,"Define STO-001 schemas/migrations and reject or quarantine invalid records"
FND-H2,CODEX_REVIEW.md,H2,Safety calculation lacks pure module and unit/property tests,High,Software lead,Open,G3,"Approve DEV-001 then implement CALCULATION_ENGINE_PLAN.md and independent corpus"
FND-H3,CODEX_REVIEW.md,H3,PR code executes with excessive CI write permissions,High,Software and security leads,Open,G6,"Split least-privilege verification from privileged deployment and verify fork behavior"
FND-H4,CODEX_REVIEW.md,H4,Product requirements contradict supported unit conversion,High,Regulatory and clinical leads,Resolved-pending-verification,G1,"VISION.md and the draft controlled records now consistently support explicit mg/mcg conversion; clinical and quality approval pending"
FND-H5,CODEX_REVIEW.md,H5,CSP offline lifecycle migrations and recovery are release blockers,High,Security and software leads,Open,G6,"PWA shell now exists; specify and verify CSP update/rollback migration eviction and recovery controls"
FND-A1,CLAUDE_REVIEW.md,1,Calculation math has no DOM-independent unit tests,High,Software lead,Duplicate,G3,"Tracked by FND-H2; retain source cross-reference"
FND-A2,CLAUDE_REVIEW.md,2,Ordered-unit state could become stale across unit-dimension change,Medium,Software lead,Resolved-pending-verification,G3,"Activity unit removed in a6ec2ca; closed mg/mcg type still requires domain-boundary verification"
FND-A3,CLAUDE_REVIEW.md,3,Repeated save can create duplicate history entries,Medium,Software and human-factors leads,Open,G4,"Specify idempotency/post-save behavior and add interaction test"
FND-A4,CLAUDE_REVIEW.md,4,Individual deletion lacks confirmation or undo,Low,Human-factors lead,Open,G5,"Approve consistent destructive-action pattern and verify it"
FND-A5,CLAUDE_REVIEW.md,5,Application lacks calculation storage and screen boundaries,High,Software lead,Open,G3,"Calculation boundary tracked by FND-H2; remaining decomposition follows approved architecture"
FND-A6,CLAUDE_REVIEW.md,6,CSS contains layered conflicting layout passes,Medium,Software lead,Open,G5,"Consolidate during reflow remediation and verify cascade/layout matrix"
FND-A7,CLAUDE_REVIEW.md,7,History pagination is inefficient and inconsistent,Low,Human-factors and software leads,Open,G5,"Approve history interaction then implement slice-based or otherwise justified behavior"
FND-A8,CLAUDE_REVIEW.md,8,KaTeX/font payload is disproportionate for offline use,Medium,Software and security leads,Open,G6,"Evaluate approved rendering and font-subsetting options with accessibility evidence"
FND-A9,CLAUDE_REVIEW.md,9,No shipped Content Security Policy,High,Security lead,Duplicate,G6,"Tracked within FND-H5"
FND-A10,CLAUDE_REVIEW.md,10,Unused dilution-containers image ships in app shell,Low,Software lead,Open,G6,"Remove from static output or document runtime purpose; verify build inventory"
FND-A11,CLAUDE_REVIEW.md,11,Playwright is the only calculation safety net,High,Software lead,Duplicate,G3,"Tracked by FND-H2"
FND-A12,CLAUDE_REVIEW.md,12,Accessibility automation covers too few UI states,Medium,Human-factors and software leads,Open,G7,"Extend axe and manual accessibility evidence across critical states"
FND-A13,CLAUDE_REVIEW.md,13,Migration and broader E2E scenarios remain incomplete,Medium,Software and quality leads,Open,G7,"Offline scenario 006 exists; migration/quarantine and update/rollback scenarios remain open"
